,close,rsi (14),macd,macd signal,bol_upper (20),bol_lower (20),sma50,sma100,sma200,Y
Sat Feb 10 13:05:00 2018,0.0001195,45.291054426026605,-5.2116259800281495e-08,1.8494733726334665e-08,0.00011977800000000057,0.00011977800000000057,0.0001197434,0.00011942460000000002,0.00012110280000000008,0
Sat Feb 10 13:15:00 2018,0.00011832,25.875371583511026,-3.346350248999608e-07,-2.2627297127730792e-07,0.00011926000000000056,0.00011926000000000056,0.0001194668,0.00011921450000000004,0.00012078385000000013,1
Sat Feb 10 13:18:00 2018,0.00011901,47.28025229184256,-2.7043169560161137e-07,-2.6347275150559867e-07,0.00011909600000000058,0.00011909600000000058,0.00011946900000000002,0.00011920540000000002,0.00012068365000000014,0
Sat Feb 10 13:19:00 2018,0.000119,47.05207674097059,-2.3749367940766118e-07,-2.582769370860112e-07,0.0001190485000000006,0.0001190485000000006,0.00011946800000000002,0.00011919460000000001,0.00012065230000000014,1
Sat Feb 10 13:21:00 2018,0.00011938,56.295142346041246,-1.520994612582208e-07,-2.2877119571369916e-07,0.00011898350000000059,0.00011898350000000059,0.00011948420000000002,0.000119188,0.00012059060000000012,0
Sat Feb 10 13:22:00 2018,0.00011905,48.35576647162833,-1.3400054949235917e-07,-2.0981706646943117e-07,0.00011895100000000058,0.00011895100000000058,0.00011947960000000003,0.00011918850000000002,0.00012055890000000012,1
Sat Feb 10 13:23:00 2018,0.00011953,57.70042482972069,-8.00028203368588e-08,-1.838542172429167e-07,0.00011895950000000057,0.00011895950000000057,0.00011948420000000001,0.000119192,0.0001205295500000001,0
Sat Feb 10 13:24:00 2018,0.0001195,57.00615539643182,-3.917835652173527e-08,-1.5491904509868041e-07,0.00011897150000000057,0.00011897150000000057,0.00011948640000000002,0.00011919650000000001,0.00012050055000000012,1
Sat Feb 10 13:25:00 2018,0.00011968,60.1076735817356,7.612073607172489e-09,-1.2241282135750983e-07,0.00011898050000000058,0.00011898050000000058,0.00011949260000000002,0.00011920720000000001,0.00012047345000000014,0
Sat Feb 10 13:30:00 2018,0.00011921,49.861533490414516,3.309332324044319e-09,-3.306161623339873e-08,0.00011901900000000056,0.00011901900000000056,0.00011944160000000001,0.0001192753,0.00012035975000000011,0
Sat Feb 10 13:31:00 2018,0.00011916,48.689546445809455,-1.392700249436686e-09,-2.672783303660632e-08,0.00011904150000000056,0.00011904150000000056,0.00011942120000000001,0.00011929190000000002,0.00012034030000000012,1
Sat Feb 10 13:32:00 2018,0.0001194,54.248447413218535,1.4084541469328395e-08,-1.856535813541938e-08,0.00011907850000000056,0.00011907850000000056,0.00011939740000000001,0.00011930250000000001,0.00012032155000000011,0
Sat Feb 10 13:39:00 2018,0.00011851,35.821464995067856,-1.4782518484178682e-07,-7.498519397707897e-08,0.00011912050000000055,0.00011912050000000055,0.0001192366,0.00011934440000000002,0.0001201815500000001,1
Sat Feb 10 13:44:00 2018,0.00011853,37.612075326303405,-1.68421215917603e-07,-1.3529868432098654e-07,0.00011894900000000057,0.00011894900000000057,0.00011911419999999997,0.0001193309,0.00012008285000000008,1
Sat Feb 10 13:46:00 2018,0.00011884,48.75586525581534,-1.4314465631801317e-07,-1.417871911569987e-07,0.00011886950000000057,0.00011886950000000057,0.00011907539999999998,0.00011932010000000001,0.00012003605000000006,0
Sat Feb 10 13:48:00 2018,0.0001179,29.889990610828715,-1.9105337504547097e-07,-1.5064052625720341e-07,0.00011877550000000058,0.00011877550000000058,0.00011900839999999997,0.00011930310000000001,0.00011998020000000007,1
Sat Feb 10 13:52:00 2018,0.00011844,44.325129200041964,-1.9425515225402596e-07,-1.8294699995338116e-07,0.0001185945000000006,0.0001185945000000006,0.00011888679999999997,0.00011929719999999998,0.00011986860000000007,0
Sat Feb 10 14:05:00 2018,0.00011612,15.463294310029632,-6.058123234202115e-07,-4.53753275376851e-07,0.00011766950000000062,0.00011766950000000062,0.00011845599999999998,0.00011896139999999999,0.00011954460000000009,1
Sat Feb 10 14:06:00 2018,0.00011623,19.34805141864949,-6.272197663827645e-07,-4.884465735780337e-07,0.00011753900000000064,0.00011753900000000064,0.00011841199999999998,0.00011893579999999999,0.00011952155000000008,0
Sat Feb 10 14:13:00 2018,0.00011494,11.207569230889284,-8.189124496088893e-07,-7.065751493894927e-07,0.00011653700000000062,0.00011653700000000062,0.000117899,0.00011869159999999998,0.00011934485000000009,1
Sat Feb 10 14:19:00 2018,0.00011632,50.39234941236322,-5.548024268694661e-07,-6.904659712015191e-07,0.00011587600000000061,0.00011587600000000061,0.0001174384,0.00011844649999999998,0.00011921565000000008,0
Sat Feb 10 14:21:00 2018,0.00011581,42.173314814537775,-4.600928256680428e-07,-6.146327350494838e-07,0.0001157525000000006,0.0001157525000000006,0.0001173036,0.00011836239999999999,0.00011915870000000008,1
Sat Feb 10 14:22:00 2018,0.00011598,45.59832624078617,-4.0651624314610047e-07,-5.730094366688071e-07,0.0001157090000000006,0.0001157090000000006,0.0001172352,0.00011831629999999999,0.00011912710000000009,0
Sat Feb 10 14:24:00 2018,0.00011561,39.78767026462181,-3.5619590760740537e-07,-4.970820648314143e-07,0.0001156390000000006,0.0001156390000000006,0.0001171024,0.000118232,0.00011905860000000008,1
Sat Feb 10 14:30:00 2018,0.00011499,30.20207366289037,-3.3875254613797707e-07,-3.703212288408622e-07,0.00011550600000000061,0.00011550600000000061,0.0001167134,0.00011795960000000001,0.00011884915000000009,1
Sat Feb 10 14:38:00 2018,0.00011792,75.94203047418976,1.736086895911214e-07,-1.4039052552579544e-07,0.00011583800000000063,0.00011583800000000063,0.0001163196,0.00011766400000000002,0.00011862060000000012,0
