1.000e+01	1.639e+02	1.639e+01
1.099e+01	1.557e+02	1.557e+01
1.207e+01	1.478e+02	1.478e+01
1.326e+01	1.402e+02	1.402e+01
1.456e+01	1.329e+02	1.329e+01
1.600e+01	1.258e+02	1.258e+01
1.758e+01	1.191e+02	1.191e+01
1.931e+01	1.126e+02	1.126e+01
2.121e+01	1.064e+02	1.064e+01
2.330e+01	1.005e+02	1.005e+01
2.560e+01	9.478e+01	9.478e+00
2.812e+01	8.937e+01	8.937e+00
3.089e+01	8.420e+01	8.420e+00
3.393e+01	7.929e+01	7.929e+00
3.728e+01	7.461e+01	7.461e+00
4.095e+01	7.018e+01	7.018e+00
4.498e+01	6.596e+01	6.596e+00
4.942e+01	6.195e+01	6.195e+00
5.429e+01	5.816e+01	5.816e+00
5.964e+01	5.457e+01	5.457e+00
6.551e+01	5.119e+01	5.119e+00
7.197e+01	4.798e+01	4.798e+00
7.906e+01	4.496e+01	4.496e+00
8.685e+01	4.211e+01	4.211e+00
9.541e+01	3.942e+01	3.942e+00
1.048e+02	3.690e+01	3.690e+00
1.151e+02	3.451e+01	3.451e+00
1.265e+02	3.226e+01	3.226e+00
1.389e+02	3.014e+01	3.014e+00
1.526e+02	2.816e+01	2.816e+00
1.677e+02	2.630e+01	2.630e+00
1.842e+02	2.456e+01	2.456e+00
2.024e+02	2.294e+01	2.294e+00
2.223e+02	2.143e+01	2.143e+00
2.442e+02	2.002e+01	2.002e+00
2.683e+02	1.872e+01	1.872e+00
2.947e+02	1.750e+01	1.750e+00
3.238e+02	1.638e+01	1.638e+00
3.556e+02	1.534e+01	1.534e+00
3.907e+02	1.437e+01	1.437e+00
4.292e+02	1.348e+01	1.348e+00
4.715e+02	1.266e+01	1.266e+00
5.180e+02	1.189e+01	1.189e+00
5.690e+02	1.118e+01	1.118e+00
6.251e+02	1.053e+01	1.053e+00
6.867e+02	9.927e+00	9.927e-01
7.543e+02	9.370e+00	9.370e-01
8.286e+02	8.858e+00	8.858e-01
9.103e+02	8.386e+00	8.386e-01
1.000e+03	7.954e+00	7.954e-01
